지점번호,지점명,일시,평균기온(℃),최고기온(℃),최고기온시각,최저기온(℃),최저기온시각일교차
"143",대구,2021-03-01,8.9,16.1,16:31,3.4,23:46,12.7
"143",대구,2021-03-02,2.6,6.2,15:01,0,3:05,6.2
"143",대구,2021-03-03,4.1,9.5,13:11,-1.5,6:00,11
"143",대구,2021-03-04,5.9,11.5,14:07,0.8,6:55,10.7
"143",대구,2021-03-05,10.6,19,16:36,4.3,7:55,14.7
"143",대구,2021-03-06,6.2,9.5,0:01,3.7,20:30,5.8
"143",대구,2021-03-07,5.5,8.8,16:00,3.5,23:59,5.3
"143",대구,2021-03-08,6.3,14,15:15,-0.6,6:54,14.6
"143",대구,2021-03-09,9,15.1,15:46,2.2,4:29,12.9
"143",대구,2021-03-10,8.8,14.1,14:47,2.6,6:56,11.5
"143",대구,2021-03-11,10,18.2,15:55,1.5,5:49,16.7
"143",대구,2021-03-12,9,11.6,0:13,7.6,8:22,4
"143",대구,2021-03-13,9.8,16,15:10,3.5,6:39,12.5
"143",대구,2021-03-14,10.5,17.2,14:30,4.6,6:58,12.6
"143",대구,2021-03-15,12.5,19.7,15:17,3.9,6:26,15.8
"143",대구,2021-03-16,14.9,20.1,15:20,10.6,23:58,9.5
"143",대구,2021-03-17,10.5,17.8,15:30,3.5,6:48,14.3
"143",대구,2021-03-18,10.4,16.6,15:04,5.2,6:23,11.4
"143",대구,2021-03-19,11.2,15.4,14:01,8.6,3:42,6.8
"143",대구,2021-03-20,9.9,10.9,17:52,8.3,6:54,2.6
"143",대구,2021-03-21,8.8,11.7,15:51,5.1,23:53,6.6
"143",대구,2021-03-22,7.9,13,15:03,3.3,6:23,9.7
"143",대구,2021-03-23,11.4,20.2,15:57,1.7,6:22,18.5
"143",대구,2021-03-24,11.5,18.2,13:09,4.3,6:46,13.9
"143",대구,2021-03-25,14.1,22.3,17:16,5.7,6:19,16.6
"143",대구,2021-03-26,15.3,23.9,15:10,6.7,6:33,17.2
"143",대구,2021-03-27,12.7,17.1,13:38,6.5,6:19,10.6
"143",대구,2021-03-28,15.8,20.2,14:33,11.7,23:32,8.5
"143",대구,2021-03-29,15.1,19.5,14:55,10.9,1:21,8.6
"143",대구,2021-03-30,14.6,21.3,16:23,10.5,23:56,10.8
"143",대구,2021-03-31,13.6,23.1,14:39,4.7,6:12,18.4