행정구역,총인구수 (명),남자인구수 (명),여자인구수 (명),시군코드,시도코드,시도이름
서울 종로구,149125,72528,76597,11110,11,서울
서울 중구,125038,61122,63916,11140,11,서울
서울 용산구,230045,110700,119345,11170,11,서울
서울 성동구,293103,143151,149952,11200,11,서울
서울 광진구,346067,166964,179103,11215,11,서울
서울 동대문구,342034,169337,172697,11230,11,서울
서울 중랑구,394532,194990,199542,11260,11,서울
서울 성북구,437684,211123,226561,11290,11,서울
서울 강북구,307487,149822,157665,11305,11,서울
서울 도봉구,324281,158103,166178,11320,11,서울
서울 노원구,521852,251763,270089,11350,11,서울
서울 은평구,479223,229827,249396,11380,11,서울
서울 서대문구,311720,149211,162509,11410,11,서울
서울 마포구,371492,174958,196534,11440,11,서울
서울 양천구,453382,222417,230965,11470,11,서울
서울 강서구,579176,279458,299718,11500,11,서울
서울 구로구,403518,199243,204275,11530,11,서울
서울 금천구,231634,117141,114493,11545,11,서울
서울 영등포구,380169,187960,192209,11560,11,서울
서울 동작구,390433,188743,201690,11590,11,서울
서울 관악구,494175,247853,246322,11620,11,서울
서울 서초구,424707,203097,221610,11650,11,서울
서울 강남구,538536,257647,280889,11680,11,서울
서울 송파구,667222,321948,345274,11710,11,서울
서울 강동구,461334,226893,234441,11740,11,서울
부산 중구,41549,20269,21280,26110,26,부산
부산 서구,107978,52295,55683,26140,26,부산
부산 동구,88763,43462,45301,26170,26,부산
부산 영도구,113048,55697,57351,26200,26,부산
부산 부산진구,359978,173861,186117,26230,26,부산
부산 동래구,270695,131698,138997,26260,26,부산
부산 남구,267351,130792,136559,26290,26,부산
부산 북구,283452,140245,143207,26320,26,부산
부산 해운대구,401710,193341,208369,26350,26,부산
부산 사하구,311052,154893,156159,26380,26,부산
부산 금정구,231959,113238,118721,26410,26,부산
부산 강서구,138610,71620,66990,26440,26,부산
부산 연제구,208900,100563,108337,26470,26,부산
부산 수영구,176742,83514,93228,26500,26,부산
부산 사상구,212173,107191,104982,26530,26,부산
부산 기장군,175428,86848,88580,26710,26,부산
대구 중구,76382,36724,39658,27110,27,대구
대구 동구,341498,168218,173280,27140,27,대구
대구 서구,170383,85396,84987,27170,27,대구
대구 남구,146428,70355,76073,27200,27,대구
대구 북구,439906,218975,220931,27230,27,대구
대구 수성구,424112,205210,218902,27260,27,대구
대구 달서구,557404,274911,282493,27290,27,대구
대구 달성군,259700,131867,127833,27710,27,대구
인천 중구,139762,72524,67238,28110,28,인천
인천 동구,62485,31549,30936,28140,28,인천
인천 미추홀구,404843,203854,200989,28177,28,인천
인천 연수구,388409,193006,195403,28185,28,인천
인천 남동구,524800,260654,264146,28200,28,인천
인천 부평구,494487,244412,250075,28237,28,인천
인천 계양구,296200,147690,148510,28245,28,인천
인천 서구,541823,273693,268130,28260,28,인천
인천 강화군,69245,34664,34581,28710,28,인천
인천 옹진군,20398,11593,8805,28720,28,인천
광주 동구,102877,50789,52088,29110,29,광주
광주 서구,296036,145049,150987,29140,29,광주
광주 남구,214532,103192,111340,29155,29,광주
광주 북구,430516,213745,216771,29170,29,광주
광주 광산구,405154,204154,201000,29200,29,광주
대전 동구,223727,112794,110933,30110,30,대전
대전 중구,235164,116032,119132,30140,30,대전
대전 서구,477326,234832,242494,30170,30,대전
대전 유성구,350875,177175,173700,30200,30,대전
대전 대덕구,176199,89563,86636,30230,30,대전
울산 중구,217191,109997,107194,31110,31,울산
울산 남구,319780,163120,156660,31140,31,울산
울산 동구,156596,81834,74762,31170,31,울산
울산 북구,219175,113499,105676,31200,31,울산
울산 울주군,222628,114952,107676,31710,31,울산
세종특별자치시,357871,178656,179215,36110,36,세종
수원시 장안구,273324,137599,135725,41111,41,경기
수원시 권선구,368686,186125,182561,41113,41,경기
수원시 팔달구,175098,88300,86798,41115,41,경기
수원시 영통구,368633,184894,183739,41117,41,경기
성남시 수정구,241568,122167,119401,41131,41,경기
성남시 중원구,216142,109424,106718,41133,41,경기
성남시 분당구,482064,233687,248377,41135,41,경기
의정부시,462499,227731,234768,41150,41,경기
안양시만안구,239070,119689,119381,41171,41,경기
안양시동안구,310660,152071,158589,41173,41,경기
부천시,817449,405464,411985,41190,41,경기
광명시,297748,146858,150890,41210,41,경기
평택시,540929,279690,261239,41220,41,경기
동두천시,94443,47077,47366,41250,41,경기
안산시상록구,352897,180008,172889,41271,41,경기
안산시단원구,302836,156257,146579,41273,41,경기
고양시덕양구,478147,236307,241840,41281,41,경기
고양시일산동구,300665,146316,154349,41285,41,경기
고양시일산서구,302363,146755,155608,41287,41,경기
과천시,64549,31675,32874,41290,41,경기
구리시,197217,97836,99381,41310,41,경기
남양주시,714822,355980,358842,41360,41,경기
오산시,230042,118964,111078,41370,41,경기
시흥시,504935,263749,241186,41390,41,경기
군포시,273542,135726,137816,41410,41,경기
의왕시,163585,81379,82206,41430,41,경기
하남시,295122,148229,146893,41450,41,경기
용인시처인구,257773,132112,125661,41461,41,경기
용인시기흥구,440940,217700,223240,41463,41,경기
용인시수지구,376332,183410,192922,41465,41,경기
파주시,466539,236488,230051,41480,41,경기
이천시,218651,113095,105556,41500,41,경기
안성시,187232,96474,90758,41550,41,경기
김포시,477332,239165,238167,41570,41,경기
화성시,857550,445135,412415,41590,41,경기
광주시,382578,195548,187030,41610,41,경기
양주시,231241,117346,113895,41630,41,경기
포천시,147393,77964,69429,41650,41,경기
여주시,112044,56897,55147,41670,41,경기
연천군,43438,22744,20694,41800,41,경기
가평군,62399,32169,30230,41820,41,경기
양평군,119022,59658,59364,41830,41,경기
춘천시,282693,139534,143159,42110,42,강원
원주시,354664,175962,178702,42130,42,강원
강릉시,213412,105799,107613,42150,42,강원
동해시,90416,45914,44502,42170,42,강원
태백시,42586,21557,21029,42190,42,강원
속초시,82652,40940,41712,42210,42,강원
삼척시,64946,32836,32110,42230,42,강원
홍천군,69142,35625,33517,42720,42,강원
횡성군,46441,23812,22629,42730,42,강원
영월군,38565,19935,18630,42750,42,강원
평창군,41587,21276,20311,42760,42,강원
정선군,36783,19127,17656,42770,42,강원
철원군,44563,23151,21412,42780,42,강원
화천군,24732,13412,11320,42790,42,강원
양구군,22161,11759,10402,42800,42,강원
인제군,31720,17116,14604,42810,42,강원
고성군,26687,13762,12925,42820,42,강원
양양군,27946,14210,13736,42830,42,강원
청주시 서원구,194154,96402,97752,43112,43,충북
청주시 청원구,193997,99591,94406,43114,43,충북
청주시 상당구,191363,95118,96245,43111,43,충북
청주시 흥덕구,266196,135102,131094,43113,43,충북
충주시,210139,106269,103870,43130,43,충북
제천시,132759,66633,66126,43150,43,충북
보은군,32364,16271,16093,43720,43,충북
옥천군,50468,25447,25021,43730,43,충북
영동군,47230,23487,23743,43740,43,충북
증평군,36807,19125,17682,43745,43,충북
진천군,83849,43937,39912,43750,43,충북
괴산군,38338,19702,18636,43760,43,충북
음성군,92945,49247,43698,43770,43,충북
단양군,29049,14726,14323,43800,43,충북
당진시,166189,88211,77978,44270,44,충남
천안시동남구,257683,130546,127137,44131,44,충남
천안시서북구,400805,205562,195243,44133,44,충남
공주시,104442,52273,52169,44150,44,충남
보령시,99964,50657,49307,44180,44,충남
아산시,316740,164424,152316,44200,44,충남
서산시,175543,91399,84144,44210,44,충남
논산시,116587,58277,58310,44230,44,충남
계룡시,42809,21332,21477,44250,44,충남
금산군,51262,25821,25441,44710,44,충남
부여군,65202,32285,32917,44760,44,충남
서천군,51742,25548,26194,44770,44,충남
청양군,30840,15632,15208,44790,44,충남
홍성군,99850,49659,50191,44800,44,충남
예산군,78129,39195,38934,44810,44,충남
태안군,62050,31274,30776,44825,44,충남
전주시완산구,339406,165246,174160,45111,45,전북
전주시덕진구,318255,158377,159878,45113,45,전북
군산시,267798,135311,132487,45130,45,전북
익산시,281539,140158,141381,45140,45,전북
정읍시,108470,53748,54722,45180,45,전북
남원시,80570,39507,41063,45190,45,전북
김제시,82326,40808,41518,45210,45,전북
완주군,91450,46960,44490,45710,45,전북
진안군,25344,12798,12546,45720,45,전북
무주군,24046,11979,12067,45730,45,전북
장수군,22081,11002,11079,45740,45,전북
임실군,27248,13938,13310,45750,45,전북
순창군,27665,13457,14208,45770,45,전북
고창군,54512,26953,27559,45790,45,전북
부안군,52038,25873,26165,45800,45,전북
목포시,223362,111241,112121,46110,46,전남
여수시,280497,143083,137414,46130,46,전남
순천시,282618,141003,141615,46150,46,전남
나주시,115855,58307,57548,46170,46,전남
광양시,151045,78821,72224,46230,46,전남
담양군,46475,23583,22892,46710,46,전남
곡성군,27982,13677,14305,46720,46,전남
구례군,25573,12442,13131,46730,46,전남
고흥군,63869,31016,32853,46770,46,전남
보성군,40430,19702,20728,46780,46,전남
화순군,62455,30893,31562,46790,46,전남
장흥군,37689,18323,19366,46800,46,전남
강진군,34568,16693,17875,46810,46,전남
해남군,68736,33924,34812,46820,46,전남
영암군,53687,27602,26085,46830,46,전남
무안군,86940,43659,43281,46840,46,전남
함평군,31992,16056,15936,46860,46,전남
영광군,53048,26446,26602,46870,46,전남
장성군,44330,22698,21632,46880,46,전남
완도군,49811,25056,24755,46890,46,전남
진도군,30845,15242,15603,46900,46,전남
신안군,38768,20665,18103,46910,46,전남
포항시 남구,230381,118821,111560,47111,47,경북
포항시 북구,272355,135403,136952,47113,47,경북
경주시,253475,126853,126622,47130,47,경북
김천시,140511,70504,70007,47150,47,경북
안동시,158675,78563,80112,47170,47,경북
구미시,415949,213567,202382,47190,47,경북
영주시,103043,51041,52002,47210,47,경북
영천시,101799,51699,50100,47230,47,경북
상주시,97159,47589,49570,47250,47,경북
문경시,70919,34770,36149,47280,47,경북
경산시,264150,132986,131164,47290,47,경북
군위군,23216,11853,11363,47720,47,경북
의성군,51601,25211,26390,47730,47,경북
청송군,25030,12477,12553,47750,47,경북
영양군,16638,8237,8401,47760,47,경북
영덕군,36245,17163,19082,47770,47,경북
청도군,42245,20782,21463,47820,47,경북
고령군,31310,16044,15266,47830,47,경북
성주군,43335,22429,20906,47840,47,경북
칠곡군,114777,59819,54958,47850,47,경북
예천군,55709,27411,28298,47900,47,경북
봉화군,31407,15817,15590,47920,47,경북
울진군,48675,24412,24263,47930,47,경북
울릉군,9035,4933,4102,47940,47,경북
창원시 의창구,261845,133265,128580,48121,48,경남
창원시 성산구,214067,109349,104718,48123,48,경남
창원시 마산합포구,176636,87863,88773,48125,48,경남
창원시 마산회원구,190739,95637,95102,48127,48,경남
창원시 진해구,192916,98833,94083,48129,48,경남
진주시,348022,172072,175950,48170,48,경남
통영시,128084,64398,63686,48220,48,경남
사천시,111005,55985,55020,48240,48,경남
김해시,542296,274253,268043,48250,48,경남
밀양시,104687,51291,53396,48270,48,경남
거제시,245492,128819,116673,48310,48,경남
양산시,352421,176705,175716,48330,48,경남
의령군,26778,13146,13632,48720,48,경남
함안군,64036,32487,31549,48730,48,경남
창녕군,61305,30468,30837,48740,48,경남
고성군,51372,25763,25609,48820,48,경남
남해군,42855,20661,22194,48840,48,경남
하동군,44673,22299,22374,48850,48,경남
산청군,34809,17085,17724,48860,48,경남
함양군,39013,18809,20204,48870,48,경남
거창군,61474,30058,31416,48880,48,경남
합천군,43871,21137,22734,48890,48,경남
제주시,492346,246474,245872,50110,50,제주
서귀포시,182269,92079,90190,50130,50,제주
