번호,구분,화장실명,소재지도로명주소,소재지지번주소,남녀공용화장실여부,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,설치연월,위도,경도,화장실소유구분,화장실설치장소유형,오물처리방식,비상벨설치유형,화장실입구CCTV설치유무,기저귀교환대장소,리모델링연월,데이터기준일자
89,개방화장실,대구가정법원 2층 북측,"대구광역시 달서구 장산남로 30 (용산동, 대구지방법원서부지원, 대구가정법원)",,N,4,5,0,0,0,0,4,1,0,대구가정법원 총무과,,08:30~18:30,,35.85306271,128.5275703,국가,공공용시설,수세식,없음,N,여자화장실,,2020-08-31
90,개방화장실,대구가정법원 1층 남측,"대구광역시 달서구 장산남로 30 (용산동, 대구지방법원서부지원, 대구가정법원)",,N,2,3,0,0,0,0,2,0,0,대구가정법원 총무과,,08:30~18:30,,35.85306271,128.5275703,국가,공공용시설,수세식,없음,Y,없음,,2020-08-31
91,개방화장실,대구가정법원 1층 서편,"대구광역시 달서구 장산남로 30 (용산동, 대구지방법원서부지원, 대구가정법원)",,N,3,3,0,0,0,0,2,0,0,대구가정법원 총무과,,08:30~18:30,,35.85306271,128.5275703,국가,공공용시설,수세식,없음,Y,여자화장실,,2020-08-31
92,개방화장실,대구가정법원 1층 북측,"대구광역시 달서구 장산남로 30 (용산동, 대구지방법원서부지원, 대구가정법원)",,N,4,5,0,0,0,0,4,1,0,대구가정법원 총무과,,08:30~18:30,,35.85306271,128.5275703,국가,공공용시설,수세식,없음,Y,여자화장실,,2020-08-31
93,개방화장실,법조빌딩,"대구광역시 달서구 장산남로 21 (용산동, 법조빌딩)",,N,2,2,0,0,0,0,3,1,0,달서구청 환경보호과,,09:00~18:00,,35.85169853,128.5279825,민간,기타,수세식,없음,N,없음,,2020-08-31
94,공중화장실,구마종합시장,"대구광역시 달서구 장기로5길 29 (성당동, 구마시장아파트)",,N,0,2,0,0,0,0,0,0,0,달서구청 경제지원과,,09:00~18:00,,35.84123122,128.5546359,민간,상업시설,수세식,없음,N,없음,,2020-08-31
95,개방화장실,장기동행정복지센터,"대구광역시 달서구 장기로 277 (장기동, 장기동주민센터)",,N,7,6,0,0,0,0,10,1,0,장기동행정복지센터,,09:00~18:00,,35.84335012,128.5299739,지방자치단체,공공용시설,수세식,여자화장실,N,없음,,2020-08-31
96,개방화장실,장기동우체국,"대구광역시 달서구 장기로 273 (장기동, 장기동우체국)",,N,1,4,0,0,0,0,0,0,0,대구장기동우체국,,09:00~18:00,,35.84331734,128.5302832,국가,공공용시설,수세식,없음,N,없음,,2020-08-31
97,공중화장실,한마음공원,대구광역시 달서구 조암남로 172-13,,N,2,2,0,0,0,0,4,0,0,달서구청 공원녹지과,,09:00~18:00,,35.8165684,128.515696,지방자치단체,공공용시설,수세식,여자화장실,N,없음,,2020-08-31
98,공중화장실,흐르네공원,대구광역시 달서구 월배로5길 76,,N,2,2,0,0,0,0,4,1,0,달서구청 공원녹지과,,09:00~18:00,,35.81936758,128.513824,지방자치단체,공공용시설,수세식,여자화장실,N,없음,,2020-08-31
99,공중화장실,선돌공원,대구광역시 달서구 조암로20길 50,,N,3,3,0,0,0,0,4,1,0,달서구청 공원녹지과,,09:00~18:00,,35.82370034,128.5181111,지방자치단체,공공용시설,수세식,여자화장실,N,없음,,2020-08-31
100,개방화장실,성서 롯데시네마,"대구광역시 달서구 성서로 414 (이곡동, 성서롯데시네마)",,N,2,2,0,0,0,0,2,0,0,달서구청 환경보호과,,09:00~20:00,,35.85443019,128.5077779,민간,기타,수세식,없음,N,없음,,2020-08-31
101,개방화장실,대구성서우체국,"대구광역시 달서구 성서로 406 (이곡동, 대구성서우체국)",,N,1,15,0,0,0,0,0,0,0,대구성서우체국,,09:00~18:00,,35.853764,128.5077255,국가,공공용시설,수세식,없음,N,없음,,2020-08-31
102,개방화장실,하나은행 건물,대구광역시 달서구 성서로 399 (이곡동),,N,2,2,0,0,0,0,2,0,0,달서구청 환경보호과,,09:00~18:00,,35.8531883,128.5067803,민간,기타,수세식,없음,N,없음,,2020-08-31
103,개방화장실,성서119안전센터,"대구광역시 달서구 성서로 357 (이곡동, 성서119안전센터)",,Y,0,0,0,0,0,1,0,0,0,성서119안전센터,,09:00~18:00,,35.84950308,128.5068833,국가,공공용시설,수세식,없음,N,없음,,2020-08-31
104,공중화장실,장동주유소,대구광역시 달서구 성서동로 208 (장동),,N,1,2,0,0,0,0,2,0,0,달서구청 환경보호과,,09:00~18:00,,35.83925522,128.5160435,민간,주유소·충전소,수세식,없음,N,없음,,2020-08-31
105,공중화장실,에프주유소,대구광역시 달서구 성서동로 184 (장동),,N,1,2,0,0,0,0,1,0,0,달서구청 환경보호과,,09:00~18:00,,35.8371364,128.5162732,민간,주유소·충전소,수세식,없음,N,없음,,2020-08-31
106,개방화장실,sk가스세영충전소,대구광역시 달서구 성서공단북로69길 33 (갈산동),,N,0,0,0,0,0,0,0,0,0,달서구청 환경보호과,,09:00~18:00,,35.84631697,128.5100106,민간,주유소·충전소,수세식,없음,N,없음,,2020-08-31
107,공중화장실,고려제일 오일뱅크,대구광역시 달서구 성서공단로54길 8 (월암동),,N,0,1,0,0,0,0,0,0,0,달서구청 환경보호과,,09:00~18:00,,35.83416652,128.5113828,민간,주유소·충전소,수세식,없음,N,없음,,2020-08-31
108,개방화장실,시설안전관리사업소,대구광역시 달서구 성서공단로 58 (대천동),,N,2,3,0,0,0,0,2,1,0,시설안전관리사업소 시설안전과,,09:00~18:00,,35.83250009,128.4901126,공공기관,공공용시설,수세식,없음,N,없음,,2020-08-31
109,개방화장실,테크노파크 신기술산업지원센터,"대구광역시 달서구 성서공단로 46-17 (대천동, 대구테크노파크 신기술산업지원센터)",,N,2,3,0,0,0,0,4,0,0,달서구청 환경보호과,,09:00~18:00,,35.83285784,128.4882955,지방자치단체,공공용시설,수세식,없음,N,없음,,2020-08-31
110,공중화장실,호림강나루공원,대구광역시 달서구 성서공단로 40,,N,1,1,0,0,0,0,13,0,0,달서구청 공원녹지과,,09:00~18:00,,35.83282414,128.4872325,지방자치단체,공공용시설,수세식,여자화장실,N,없음,,2020-08-31
111,공중화장실,남대구IC주유소,대구광역시 달서구 성서공단로 372 (월성동),,N,1,2,0,0,0,0,1,0,0,달서구청 환경보호과,,09:00~18:00,,35.83649,128.5234898,민간,주유소·충전소,수세식,없음,N,없음,,2020-08-31
112,개방화장실,한성LPG충전소,대구광역시 달서구 성서공단로 346 (월성동),,N,0,0,0,0,0,0,0,0,0,달서구청 환경보호과,,09:00~18:00,,35.83633903,128.5203262,민간,주유소·충전소,수세식,없음,N,없음,,2020-08-31
113,공중화장실,대구화물터미널,대구광역시 달서구 성서공단로 346 (월성동),,N,3,5,0,0,0,0,0,1,0,달서구청 환경보호과,,09:00~18:00,,35.83633903,128.5203262,민간,기타,수세식,없음,N,없음,,2020-08-31
114,공중화장실,한국주유소,대구광역시 달서구 와룡로 150 (감삼동),,Y,1,2,0,0,0,0,1,0,0,달서구청 환경보호과,,09:00~18:00,,35.84607933,128.5375572,민간,주유소·충전소,수세식,없음,N,없음,,2020-08-31
115,개방화장실,이마트 감삼점 지하2층 고객,"대구광역시 달서구 와룡로 143 (감삼동, 우방드림시티아파트)",,N,3,4,0,0,0,0,5,0,0,이마트 감삼점,,06:00~23:00,,35.84550704,128.536364,민간,상업시설,수세식,없음,N,여자화장실,,2020-08-31
116,개방화장실,이마트 감삼점 지하3층 고객,"대구광역시 달서구 와룡로 143 (감삼동, 우방드림시티아파트)",,N,3,4,0,0,0,0,5,0,0,이마트 감삼점,,06:00~23:00,,35.84550704,128.536364,민간,상업시설,수세식,없음,N,여자화장실,,2020-08-31
117,공중화장실,신내당시장,"대구광역시 달서구 야외음악당로39길 62 (두류동, 신내당시장아파트)",,N,2,3,0,0,0,0,4,0,0,달서구청 경제지원과,,09:00~18:00,,35.85462166,128.5538524,민간,상업시설,수세식,없음,N,없음,,2020-08-31
118,개방화장실,두류3동행정복지센터,"대구광역시 달서구 야외음악당로39길 24 (두류동, 두류3동주민센터)",,N,1,1,0,0,0,0,1,0,0,두류3동행정복지센터,,09:00~18:00,,35.85370669,128.5554772,지방자치단체,공공용시설,수세식,,N,없음,,2020-08-31
119,공중화장실,극동주유소,대구광역시 달서구 야외음악당로 83 (성당동),,Y,0,0,0,0,0,0,0,0,0,달서구청 환경보호과,,09:00~18:00,,35.84467923,128.5519717,민간,주유소·충전소,수세식,없음,N,없음,,2020-08-31
120,개방화장실,성당동행정복지센터,"대구광역시 달서구 야외음악당로 38 (성당동, 성당동행정복지센터)",,N,1,2,0,0,0,0,3,1,0,성당동행정복지센터,,09:00~18:00,,35.84061243,128.5531497,지방자치단체,공공용시설,수세식,여자화장실,N,없음,,2020-08-31
121,개방화장실,두류파출소,"대구광역시 달서구 야외음악당로 280 (두류동, 두류파출소)",,N,1,1,0,0,0,0,1,0,0,두류파출소,,00:00~23:50,,35.85642257,128.5647889,국가,공공용시설,수세식,없음,N,없음,,2020-08-31
122,개방화장실,두류3동파출소,"대구광역시 달서구 야외음악당로 202 (두류동, 두류3동파출소)",,Y,0,0,0,0,0,0,0,0,0,두류3동파출소,,00:00~23:50,,35.85337583,128.5573658,국가,공공용시설,수세식,없음,N,없음,,2020-08-31
123,공중화장실,송남시장,"대구광역시 달서구 앞산순환로55길 68 (송현동, 송남시장송남연립주택)",,N,2,4,0,0,0,0,6,0,0,달서구청 경제지원과,,09:00~18:00,,35.82899412,128.5554285,민간,상업시설,수세식,없음,N,없음,,2020-08-31
124,공중화장실,송경종합시장,"대구광역시 달서구 앞산순환로49길 73 (송현동, 송경시장)",,N,2,2,0,0,0,0,2,1,0,달서구청 경제지원과,,09:00~18:00,,35.82709668,128.5516336,민간,상업시설,수세식,없음,N,없음,,2020-08-31
125,공중화장실,태송주유소,대구광역시 달서구 앞산순환로 237 (송현동),,N,1,2,0,0,0,0,2,0,0,달서구청 환경보호과,,09:00~18:00,,35.82493818,128.5543712,민간,주유소·충전소,수세식,없음,N,없음,,2020-12-04
126,공중화장실,대덕승마장,대구광역시 달서구 앞산순환로 206 (송현동),,N,1,1,0,0,0,0,2,0,0,달서구청 환경보호과,,09:00~18:00,,35.82197719,128.5539372,지방자치단체,관광·체육시설,수세식,없음,N,없음,,2020-08-31
127,공중화장실,대경주유소,대구광역시 달서구 앞산순환로 181 (송현동),,Y,0,0,0,0,0,0,0,0,0,달서구청 환경보호과,,09:00~18:00,,35.82069637,128.551239,민간,주유소·충전소,수세식,없음,N,없음,,2020-08-31
128,개방화장실,대구광역시청소년수련원,"대구광역시 달서구 앞산순환로 180 (송현동, 청소년수련원)",,N,5,13,0,0,0,0,8,1,0,대구광역시청소년수련원,,09:00~20:00,,35.82024301,128.5534077,지방자치단체,공공용시설,수세식,없음,N,없음,,2020-08-31
129,개방화장실,성서종합사회복지관 3층,"대구광역시 달서구 신당로 56 (신당동, 성서주공1단지아파트)",,N,2,3,0,0,0,0,2,1,0,성서종합사회복지관 복지행정팀,,09:00~20:00,,35.85230021,128.4988203,지방자치단체,공공용시설,수세식,없음,N,없음,,2020-08-31
130,개방화장실,성서종합사회복지관 2층,"대구광역시 달서구 신당로 56 (신당동, 성서주공1단지아파트)",,N,2,2,0,0,0,0,3,1,0,성서종합사회복지관 복지행정팀,,09:00~20:00,,35.85230021,128.4988203,지방자치단체,공공용시설,수세식,없음,N,없음,,2020-08-31
131,개방화장실,성서종합사회복지관 1층,"대구광역시 달서구 신당로 56 (신당동, 성서주공1단지아파트)",,N,2,2,0,0,0,0,2,1,0,성서종합사회복지관 복지행정팀,,09:00~20:00,,35.85230021,128.4988203,지방자치단체,공공용시설,수세식,,N,없음,,2020-08-31
132,공중화장실,앞돌공원,대구광역시 달서구 신당로 56,,Y,0,0,0,0,0,0,0,0,0,신당동 행정복지센터,,09:00~18:00,,35.85230021,128.4988203,지방자치단체,공공용시설,수세식,여자화장실,N,없음,,2020-08-31
133,개방화장실,신당종합사회복지관,"대구광역시 달서구 신당로 55 (신당동, 성서주공3단지아파트)",,Y,0,0,0,0,0,0,0,1,0,달서구청 건설과,,09:00~22:00,,35.85384566,128.4974502,지방자치단체,공공용시설,수세식,없음,N,없음,,2020-08-31
134,공중화장실,송현주공시장,대구광역시 달서구 송현로12안길 38,,N,2,3,0,0,0,0,4,1,0,달서구청 경제지원과,,09:00~18:00,,35.82274003,128.5481762,민간,상업시설,수세식,없음,Y,없음,,2020-08-31
135,개방화장실,대구E1충전소,대구광역시 달서구 송현로 55 (상인동),,N,2,3,0,0,0,0,2,0,0,달서구청 환경보호과,,09:00~18:00,,35.8230087,128.545787,민간,주유소·충전소,수세식,없음,N,없음,,2020-08-31
136,개방화장실,대구상인동우체국,"대구광역시 달서구 송현로 47 (상인동, 상인동우체국)",,Y,0,0,0,0,0,0,0,0,0,대구상인동우체국,,09:00~18:00,,35.82266451,128.5467629,국가,공공용시설,수세식,없음,N,없음,,2020-08-31
137,개방화장실,달서어린이도서관,"대구광역시 달서구 송현로 45 (상인동, 달서어린이도서관)",,N,3,6,0,0,0,0,6,1,0,달서구청 도서관과,,09:00~18:00,,35.82248463,128.5470161,지방자치단체,공공용시설,수세식,없음,Y,없음,,2020-08-31
138,개방화장실,남부교육지원청 5층,대구광역시 달서구 송현로 192 (본동),,N,1,3,0,0,0,0,2,0,0,남부교육지원청 행정지원과,,08:00~21:00,,35.8349094,128.5453627,지방자치단체,공공용시설,수세식,없음,N,없음,,2020-08-31
139,개방화장실,남부교육지원청 4층,대구광역시 달서구 송현로 192 (본동),,N,1,3,0,0,0,0,2,0,0,남부교육지원청 행정지원과,,08:00~21:00,,35.8349094,128.5453627,지방자치단체,공공용시설,수세식,없음,N,없음,,2020-08-31
140,공중화장실,조암구석기공원,대구광역시 달서구 조암로6길 20,,N,3,3,0,0,0,0,4,1,0,달서구청 공원녹지과,,09:00~18:00,,35.82912965,128.5260226,지방자치단체,공공용시설,수세식,여자화장실,N,없음,,2020-08-31
141,공중화장실,마을마당공원,대구광역시 달서구 조암로 29,,N,3,3,0,0,0,0,4,1,0,달서구청 공원녹지과,,09:00~18:00,,35.82455256,128.5268113,지방자치단체,공공용시설,수세식,여자화장실,N,없음,,2020-08-31
142,공중화장실,학산공원1,대구광역시 달서구 학산로2길 39,,N,2,3,0,0,0,0,2,0,0,달서구청 공원녹지과,,09:00~18:00,,35.82423825,128.5347899,지방자치단체,공공용시설,수세식,여자화장실,N,없음,,2020-08-31
143,공중화장실,월성공원,대구광역시 달서구 학산로7길 26,,N,1,2,0,0,0,0,2,1,0,달서구청 공원녹지과,,09:00~18:00,,35.83108789,128.5318986,지방자치단체,공공용시설,수세식,여자화장실,N,없음,,2020-08-31
144,공중화장실,평화공원,대구광역시 달서구 학산로7길 27,,N,1,1,0,0,0,0,2,0,0,월성2동 행정복지센터,,09:00~18:00,,35.83033022,128.5311049,지방자치단체,공공용시설,수세식,여자화장실,N,없음,,2020-08-31
145,공중화장실,효성공원,대구광역시 달서구 학산로7길 39,,N,1,1,0,0,0,0,2,0,0,월성2동 행정복지센터,,09:00~18:00,,35.83157511,128.5298717,지방자치단체,공공용시설,수세식,여자화장실,N,없음,,2020-08-31
146,공중화장실,창공공원,대구광역시 달서구 구마로14남길 55,,N,1,1,0,0,0,0,2,0,0,월성2동 행정복지센터,,09:00~18:00,,35.83192634,128.5331408,지방자치단체,공공용시설,수세식,여자화장실,N,없음,,2020-08-31
147,공중화장실,연왕공원,대구광역시 달서구 구마로12길 60,,N,1,1,0,0,0,0,2,0,0,월성2동 행정복지센터,,09:00~18:00,,35.83522512,128.5330981,지방자치단체,공공용시설,수세식,여자화장실,N,없음,,2020-08-31
148,공중화장실,영광공원,대구광역시 달서구 상인로 139,,N,1,3,0,0,0,0,1,0,0,상인1동 행정복지센터,,09:00~18:00,,35.81828594,128.5435976,지방자치단체,공공용시설,수세식,여자화장실,N,없음,,2020-08-31
149,공중화장실,월광수변공원3,대구광역시 달서구 월곡로 5,,N,2,3,0,0,0,0,5,0,0,달서구청 공원녹지과,,09:00~18:00,,35.79880747,128.5482868,지방자치단체,공공용시설,수세식,여자화장실,N,여자화장실,,2020-08-31
150,공중화장실,월천공원,대구광역시 달서구 성서4차첨단로 90,,N,1,3,0,0,0,0,2,1,0,달서구청 공원녹지과,,09:00~18:00,,35.8229446,128.5125819,지방자치단체,공공용시설,수세식,여자화장실,N,없음,,2020-08-31
151,공중화장실,한샘공원,대구광역시 달서구 조암남로26길 30,,N,2,2,0,0,0,0,4,1,0,달서구청 공원녹지과,,09:00~18:00,,35.82024706,128.5178284,지방자치단체,공공용시설,수세식,여자화장실,N,없음,,2020-08-31
152,공중화장실,강창공원,대구광역시 달서구 호산로 126,,N,2,3,0,0,0,0,3,1,0,신당동 행정복지센터,,09:00~18:00,,35.85002419,128.4788713,지방자치단체,공공용시설,수세식,여자화장실,N,여자화장실,,2020-08-31
153,개방화장실,대구강창우체국,"대구광역시 달서구 호산로 124 (호산동, 강창우체국)",,N,1,2,0,0,0,0,1,0,0,대구강창우체국,,09:00~18:00,,35.8508524,128.4783553,국가,공공용시설,수세식,없음,N,없음,,2020-08-31
154,개방화장실,도원동 행정복지센터 4층 서편 공중,"대구광역시 달서구 한실로 53 (도원동, 도원동행정복지센터)",,N,0,1,0,0,0,0,1,0,0,도원동 행정복지센터,,09:00~18:00,,35.80748105,128.5321884,지방자치단체,공공용시설,수세식,없음,N,없음,,2020-08-31
155,개방화장실,도원동 행정복지센터 2층 서편 공중,"대구광역시 달서구 한실로 53 (도원동, 도원동행정복지센터)",,Y,0,0,0,0,0,0,0,0,0,도원동 행정복지센터,,09:00~18:00,,35.80748105,128.5321884,지방자치단체,공공용시설,수세식,없음,N,없음,,2020-08-31
156,개방화장실,도원동 행정복지센터 4층 동편 공중,"대구광역시 달서구 한실로 53 (도원동, 도원동행정복지센터)",,N,1,2,0,0,0,1,1,0,0,도원동 행정복지센터,,09:00~18:00,,35.80748105,128.5321884,지방자치단체,공공용시설,수세식,없음,N,없음,,2020-08-31
157,개방화장실,도원동 행정복지센터 3층 공중,"대구광역시 달서구 한실로 53 (도원동, 도원동행정복지센터)",,N,1,2,0,0,0,0,0,0,0,도원동 행정복지센터,,09:00~18:00,,35.80748105,128.5321884,지방자치단체,공공용시설,수세식,없음,N,없음,,2020-08-31
158,개방화장실,도원동 행정복지센터 2층 동편 공중,"대구광역시 달서구 한실로 53 (도원동, 도원동행정복지센터)",,N,1,2,0,0,0,0,1,0,0,도원동 행정복지센터,,09:00~18:00,,35.80748105,128.5321884,지방자치단체,공공용시설,수세식,없음,N,없음,,2020-08-31
159,개방화장실,도원동 행정복지센터 1층 공중,"대구광역시 달서구 한실로 53 (도원동, 도원동행정복지센터)",,N,1,3,0,0,0,0,2,0,0,도원동 행정복지센터,,09:00~18:00,,35.80748105,128.5321884,지방자치단체,공공용시설,수세식,,N,없음,,2020-08-31
160,개방화장실,도원치안센터,"대구광역시 달서구 한실로 115 (도원동, 도원치안센터)",,Y,0,0,0,0,0,0,0,0,0,달서경찰서 대곡파출소,,09:00~18:00,,35.80677369,128.5393081,공공기관,공공용시설,수세식,없음,N,없음,,2020-08-31
161,개방화장실,롯데리아 대구성당DT점,"대구광역시 달서구 구마로 209, 2층 (성당동)",대구광역시 달서구 성당동 825-26,N,1,1,0,0,0,0,2,0,0,롯데리아 대구성당DT점,053-656-9801,상시,,,,민간,상업시설,수세식,없음,N,없음,,2021-01-28
162,공중화장실,이곡장미공원,대구광역시 달서구 선원남로 127,,N,1,6,0,0,0,0,5,1,0,달서구청 공원녹지과,,09:00~18:00,,35.85809604,128.5135152,지방자치단체,공공용시설,수세식,여자화장실,N,여자화장실,,2020-08-31
163,공중화장실,돌산공원,대구광역시 달서구 서당로9길 34-13,,Y,0,0,0,0,0,0,0,0,0,신당동 행정복지센터,,09:00~18:00,,35.85691014,128.4936423,지방자치단체,공공용시설,수세식,여자화장실,N,없음,,2020-08-31
164,공중화장실,청록공원,대구광역시 달서구 서당로 30,,N,1,2,0,0,0,0,1,0,0,신당동 행정복지센터,,09:00~18:00,,35.85457267,128.4963835,지방자치단체,공공용시설,수세식,여자화장실,N,없음,,2020-08-31
165,공중화장실,에버그린주유소,대구광역시 달서구 새방로 87 (용산동),,N,1,2,0,0,0,0,1,0,0,달서구청 환경보호과,,09:00~18:00,,35.86510774,128.5262782,민간,주유소·충전소,수세식,없음,N,없음,,2020-08-31
166,공중화장실,유림공원,대구광역시 달서구 상화북로 216-1,,N,1,3,0,0,0,0,1,0,0,상인3동 행정복지센터,,09:00~18:00,,35.81463803,128.5486429,지방자치단체,공공용시설,수세식,여자화장실,N,없음,,2020-08-31
167,공중화장실,장미공원,대구광역시 달서구 상화북로 195-9,,N,1,3,0,0,0,0,1,0,0,상인3동 행정복지센터,,09:00~18:00,,35.81424147,128.5458471,지방자치단체,공공용시설,수세식,여자화장실,N,없음,,2020-08-31
168,공중화장실,한빛공원,대구광역시 달서구 상화북로 195,,N,1,3,0,0,0,0,1,0,0,상인1동 행정복지센터,,09:00~18:00,,35.81403444,128.546529,지방자치단체,공공용시설,수세식,여자화장실,N,없음,,2020-08-31
169,공중화장실,스타주유소,대구광역시 달서구 상화북로 179 (상인동),,N,1,0,0,0,0,0,1,0,0,달서구청 환경보호과,,09:00~18:00,,35.81295575,128.5451982,민간,주유소·충전소,수세식,없음,N,없음,,2020-08-31
170,공중화장실,장미공원,대구광역시 달서구 상화로5길 64,,N,1,1,0,0,0,0,2,0,0,진천동 행정복지센터,,09:00~18:00,,35.81167764,128.5184928,지방자치단체,공공용시설,수세식,여자화장실,N,없음,,2020-08-31
171,공중화장실,수목원주유소,대구광역시 달서구 상화로 99 (진천동),,N,1,2,0,0,0,1,2,0,0,달서구청 환경보호과,,09:00~18:00,,35.80839626,128.5245637,민간,주유소·충전소,수세식,없음,N,없음,,2020-08-31
172,개방화장실,달서구청소년수련관 3층,대구광역시 달서구 상화로 420 (상인동),,N,3,4,0,0,0,0,3,1,0,달서구 청소년수련관,,05:30~22:00,,35.80719897,128.5594461,지방자치단체,공공용시설,수세식,,N,없음,,2020-08-31
173,개방화장실,달서구청소년수련관 2층,대구광역시 달서구 상화로 420 (상인동),,N,3,4,0,0,0,0,3,0,0,달서구 청소년수련관,,05:30~22:00,,35.80719897,128.5594461,지방자치단체,공공용시설,수세식,,N,없음,,2020-08-31
174,개방화장실,달서구청소년수련관 1층,대구광역시 달서구 상화로 420 (상인동),,N,3,4,0,0,0,0,3,1,0,달서구 청소년수련관,,05:30~22:00,,35.80719897,128.5594461,지방자치단체,공공용시설,수세식,,N,없음,,2020-08-31
175,개방화장실,달서구상담센터건물 2층,대구광역시 달서구 상화로 406 (상인동),,N,2,4,0,0,0,0,6,1,0,달서구 청소년수련관,,09:00~18:00,,35.80788516,128.5582338,지방자치단체,공공용시설,수세식,없음,N,없음,,2020-08-31
176,개방화장실,달서구상담센터건물 1층 외부,대구광역시 달서구 상화로 406 (상인동),,N,2,3,0,0,0,0,6,1,0,달서구 청소년수련관,,09:00~18:00,,35.80788516,128.5582338,지방자치단체,공공용시설,수세식,없음,N,없음,,2020-08-31
177,개방화장실,상인종합사회복지관,"대구광역시 달서구 상화로 371 (상인동, 상인비둘기1단지아파트)",,N,7,9,0,0,0,0,7,1,0,상인종합사회복지관,,09:00~21:00,,35.80867638,128.5522443,지방자치단체,공공용시설,수세식,,N,없음,,2020-08-31
